tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
1.8,0.4,1.9,1.1,0.4,1.9,0.0,0.0,1.0,57.3,5.6,50,64,172,300,35.3,72.8,12.7,24.8,38.3,31.8,6,300,55,245,45.9,2.6,78.6,81.9,2.0,0.0
2.4,0.4,1.9,0.8,0.4,1.9,0.0,0.0,1.0,54.3,4.6,48,62,163,300,33.3,74.0,14.0,25.2,38.7,26.8,6,300,57,243,41.4,2.5,78.4,81.0,2.0,0.0
1.8,0.4,1.9,1.1,0.2,1.5,0.0,0.0,1.0,56.3,2.9,54,60,169,300,35.7,69.8,11.5,31.8,35.0,36.2,6,300,61,239,46.7,3.0,78.6,80.6,1.9,0.0
1.8,0.4,1.1,1.1,0.6,1.9,0.0,0.0,1.0,54.3,3.9,48,58,163,300,38.3,74.0,25.2,22.0,41.3,36.5,6,300,69,231,28.7,1.7,76.4,78.8,1.9,0.0
1.8,0.4,1.5,1.1,0.6,1.9,0.0,0.0,1.0,56.7,5.8,50,66,170,300,34.7,69.7,13.8,20.8,41.8,28.7,6,300,53,247,58.3,3.1,76.7,79.3,1.9,0.0
2.1,0.4,1.5,1.4,0.6,1.9,0.0,0.0,1.0,55.3,7.1,42,62,166,300,35.3,73.7,14.8,24.2,36.5,34.3,6,300,57,243,50.4,2.6,76.1,79.2,1.9,0.0
2.1,0.4,1.9,1.4,0.6,1.9,0.0,0.0,1.0,56.7,7.8,48,66,170,300,32.3,71.7,14.0,25.0,37.5,28.5,6,300,55,245,49.5,2.9,78.1,81.1,1.9,0.0
1.8,0.4,1.9,0.8,0.4,1.9,0.0,0.0,1.0,57.3,4.5,54,64,172,300,34.0,70.8,13.5,22.3,40.0,27.5,6,300,52,248,46.8,2.9,78.1,81.0,1.9,0.0
2.1,0.4,0.7,1.1,0.6,1.9,0.0,0.0,1.0,50.0,3.1,46,54,150,300,35.7,79.3,24.3,21.2,34.3,38.0,6,300,67,233,25.3,1.3,75.0,77.7,1.9,0.0
2.1,0.4,1.9,1.1,0.4,1.1,0.0,0.0,1.0,55.0,5.3,48,64,165,300,32.0,73.0,9.5,30.3,35.0,31.7,6,300,54,246,48.9,3.0,78.7,81.6,1.9,0.0
2.1,0.4,1.5,1.1,0.6,1.9,0.0,0.0,1.0,55.0,4.3,48,60,165,300,33.3,69.8,13.8,25.7,31.3,37.3,6,300,57,243,50.3,2.9,77.9,81.1,1.8,0.0
2.1,0.4,1.9,1.4,0.6,1.1,0.0,0.0,1.0,54.3,5.4,48,64,163,300,32.7,71.8,10.2,31.2,38.2,26.0,6,300,58,242,56.4,3.0,78.2,80.9,1.8,0.0
1.8,0.4,1.9,1.1,0.6,1.9,0.0,0.0,1.0,56.7,3.9,52,62,170,300,34.0,76.0,11.3,26.3,33.2,35.5,6,300,53,247,45.4,2.6,78.7,82.0,1.8,0.0
1.8,0.4,1.9,1.1,0.4,1.5,0.0,0.0,1.0,54.3,7.7,42,64,163,300,35.0,66.5,10.8,29.2,38.8,30.2,6,300,57,243,45.5,2.6,77.9,80.3,1.8,0.0
1.8,0.4,1.9,0.8,0.6,1.9,0.0,0.0,1.0,58.0,6.6,52,68,174,300,34.7,76.2,15.7,28.2,35.5,34.8,6,300,61,239,45.8,2.6,77.8,80.7,1.8,0.0
2.4,0.4,1.5,0.8,0.6,1.9,0.0,0.0,1.0,56.0,2.8,52,60,168,300,35.3,69.3,14.7,20.5,37.8,34.5,6,300,54,246,45.8,2.7,77.8,79.8,1.8,0.0
2.4,0.4,1.9,1.1,0.2,1.5,0.0,0.0,1.0,53.3,4.8,44,58,160,300,37.3,67.5,11.3,34.5,41.3,33.5,6,300,67,233,40.1,2.4,78.5,80.5,1.8,0.0
2.4,0.4,1.9,1.4,0.6,1.1,0.0,0.0,1.0,51.7,2.9,48,56,155,300,33.0,71.5,14.5,24.2,43.5,22.2,6,300,57,243,37.2,2.2,77.9,79.6,1.8,0.0
2.1,0.4,1.9,0.8,0.4,1.1,0.0,0.0,1.0,56.3,7.5,46,68,169,300,32.0,64.5,12.7,30.2,35.5,32.7,6,300,59,241,49.7,3.1,77.9,80.2,1.8,0.0
2.4,0.4,1.5,1.1,0.4,1.9,0.0,0.0,1.0,55.0,4.3,50,60,165,300,37.3,68.7,15.5,24.0,40.5,34.5,6,300,59,241,39.7,2.4,78.0,79.2,1.8,0.0
2.4,0.4,1.9,1.1,0.6,1.9,0.0,0.0,1.0,54.0,5.9,48,64,162,300,31.7,68.7,12.7,26.5,36.2,27.8,6,300,56,244,40.3,2.4,79.1,81.2,1.8,0.0
1.8,0.4,1.5,1.4,0.6,1.9,0.0,0.0,1.0,56.0,5.9,50,66,168,300,34.0,74.0,10.7,27.0,36.3,32.2,6,300,56,244,56.4,2.9,77.1,80.3,1.7,0.0
2.1,0.4,1.9,0.8,0.6,1.9,0.0,0.0,1.0,59.0,3.3,54,64,177,300,31.3,69.8,15.7,22.3,33.0,28.7,6,300,56,244,52.9,3.3,78.3,81.0,1.7,0.0
1.8,0.4,1.9,1.1,0.2,1.9,0.0,0.0,1.0,55.7,5.6,46,60,167,300,32.3,73.8,12.3,32.8,37.3,26.7,6,300,64,236,47.2,2.7,78.1,80.2,1.7,0.0
2.4,0.4,1.9,0.8,0.2,1.9,0.0,0.0,1.0,56.7,3.0,54,62,170,300,36.0,70.7,14.0,31.0,40.7,31.0,6,300,67,233,28.2,1.8,78.8,80.4,1.7,0.0
1.8,0.4,1.9,1.4,0.4,1.9,0.0,0.0,1.0,57.0,7.8,46,66,171,300,35.7,73.8,13.3,25.0,44.0,25.8,6,300,56,244,48.1,2.9,77.5,79.5,1.7,0.0
2.4,0.2,1.9,0.8,0.4,1.9,0.0,0.0,1.0,56.3,3.4,52,60,169,300,32.0,70.7,17.0,23.8,36.2,27.2,6,300,59,241,44.8,2.6,77.5,79.9,1.7,0.0
2.4,0.2,1.9,0.8,0.6,1.5,0.0,0.0,1.0,54.7,4.3,48,60,164,300,34.7,76.0,13.0,27.5,35.0,34.8,6,300,59,241,41.2,2.4,78.2,80.2,1.7,0.0
1.8,0.4,1.9,0.8,0.6,1.5,0.0,0.0,1.0,60.0,5.5,54,68,180,300,34.7,68.5,14.3,28.7,39.7,28.0,6,300,61,239,47.9,2.8,77.7,80.0,1.7,0.0
1.8,0.4,1.9,0.8,0.2,1.9,0.0,0.0,1.0,54.3,5.9,46,60,163,300,32.7,69.7,13.3,28.8,40.5,23.3,6,300,61,239,49.2,3.1,77.8,79.1,1.7,0.0
1.8,0.4,1.9,0.8,0.4,1.5,0.0,0.0,1.0,54.3,4.3,50,62,163,300,36.0,77.2,13.2,30.3,38.2,33.0,6,300,62,238,50.5,2.9,77.8,80.0,1.7,0.0
2.4,0.4,1.5,1.4,0.2,1.5,0.0,0.0,1.0,53.7,2.9,50,56,161,300,36.7,70.8,11.8,31.0,40.0,33.5,6,300,65,235,46.3,2.9,78.3,80.2,1.7,0.0
1.8,0.4,1.9,1.1,0.6,1.1,0.0,0.0,1.0,56.7,5.3,48,62,170,300,35.7,67.5,14.5,30.0,41.0,29.0,6,300,63,237,47.8,2.9,77.0,78.0,1.7,0.0
2.1,0.2,1.9,0.8,0.6,1.9,0.0,0.0,1.0,56.0,4.6,48,62,168,300,33.3,77.2,13.2,28.3,32.7,37.0,6,300,60,240,42.8,2.4,76.9,79.9,1.7,0.0
2.1,0.4,1.9,0.8,0.2,1.5,0.0,0.0,1.0,56.7,5.5,50,64,170,300,32.3,68.7,10.8,30.2,35.5,29.2,6,300,57,243,48.5,2.9,77.7,79.4,1.7,0.0
2.4,0.2,1.9,1.1,0.4,1.9,0.0,0.0,1.0,57.3,3.7,52,62,172,300,33.3,67.5,13.5,28.0,35.5,33.2,6,300,59,241,45.2,2.9,78.1,80.5,1.7,0.0
