tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.1,0.2,1.2,1.4,0.4,1.7,0.0,0.0,1.0,73.7,5.6,68,80,221,300,54.3,70.7,37.0,57.2,36.5,64.3,6,300,150,150,0.6,0.0,93.4,93.5,1.3,0.0
2.4,0.2,1.2,1.1,0.4,1.7,0.0,0.0,1.0,70.7,8.6,58,84,212,300,53.3,69.0,30.5,54.3,43.0,60.0,6,300,139,161,0.7,0.0,93.5,93.6,1.3,0.0
2.1,0.4,1.2,1.4,0.4,1.2,0.0,0.0,1.0,72.7,2.7,68,76,218,300,55.7,75.3,30.5,58.2,37.3,66.2,6,300,146,154,0.6,0.0,94.1,94.9,1.3,0.0
2.4,0.4,1.2,1.4,0.2,1.7,0.0,0.0,1.0,69.3,7.0,62,78,208,300,56.0,74.3,36.5,55.8,43.5,63.3,6,300,147,153,0.6,0.0,94.0,94.6,1.2,0.0
2.1,0.4,1.2,1.1,0.4,1.7,0.0,0.0,1.0,76.0,3.3,74,82,228,300,59.0,74.3,35.0,59.8,44.5,66.8,6,300,156,144,0.6,0.0,94.2,94.8,1.2,0.0
2.1,0.2,1.7,0.8,0.4,0.7,0.0,0.0,1.0,68.0,4.0,62,72,204,300,56.3,64.5,37.2,56.0,41.8,63.3,6,300,151,149,0.7,0.0,93.5,94.3,1.2,0.0
2.1,0.4,1.7,1.4,0.4,1.7,0.0,0.0,1.0,71.0,2.1,68,74,213,300,54.3,75.2,28.2,56.2,41.3,62.2,6,300,139,161,0.6,0.0,94.0,93.9,1.2,0.0
2.1,0.2,1.7,1.4,0.2,0.7,0.0,0.0,1.0,71.3,6.5,62,80,214,300,56.3,72.2,38.3,59.8,41.0,65.0,6,300,156,144,0.6,0.0,93.9,93.6,1.2,0.0
2.1,0.2,1.7,1.4,0.2,1.7,0.0,0.0,1.0,71.7,5.7,62,78,215,300,55.3,74.5,34.5,58.5,41.5,63.0,6,300,150,150,0.7,0.0,93.5,93.9,1.2,0.0
2.4,0.2,1.7,1.4,0.2,0.7,0.0,0.0,1.0,74.0,3.6,70,80,222,300,57.0,73.2,31.0,65.7,38.5,68.2,6,300,158,142,0.6,0.0,94.1,93.9,1.2,0.0
1.8,0.2,1.7,1.1,0.2,1.7,0.0,0.0,1.0,67.3,8.4,58,80,202,300,50.3,62.8,36.7,56.7,37.2,58.7,6,300,146,154,0.7,0.0,93.0,93.2,1.2,0.0
1.8,0.4,1.7,1.4,0.4,1.7,0.0,0.0,1.0,72.7,5.6,66,80,218,300,55.3,71.3,44.0,51.3,41.8,62.5,6,300,147,153,0.5,0.0,93.6,93.5,1.2,0.0
2.4,0.2,1.2,0.8,0.4,1.7,0.0,0.0,1.0,72.0,8.9,62,82,216,300,56.0,72.2,26.3,57.3,43.7,62.5,6,300,144,156,0.6,0.0,94.1,93.9,1.2,0.0
2.4,0.2,1.7,1.1,0.4,1.7,0.0,0.0,1.0,71.7,4.3,64,76,215,300,52.7,75.0,33.7,59.0,41.0,59.8,6,300,150,150,0.6,0.0,93.7,93.9,1.2,0.0
1.8,0.4,0.7,1.4,0.4,1.7,0.0,0.0,1.0,70.0,8.0,60,84,210,300,54.0,70.7,41.3,52.3,43.3,61.7,6,300,146,154,0.6,0.0,93.8,94.3,1.2,0.0
2.1,0.0,1.2,0.8,0.4,1.7,0.0,0.0,1.0,70.7,3.7,66,74,212,300,56.0,68.7,41.0,58.3,40.3,63.2,6,300,158,142,0.7,0.0,93.4,93.6,1.2,0.0
2.4,0.0,1.2,1.4,0.4,1.2,0.0,0.0,1.0,70.0,7.8,60,76,210,300,56.0,66.3,39.7,58.0,41.5,64.2,6,300,155,145,0.7,0.0,93.5,93.6,1.2,0.0
2.4,0.0,1.7,1.4,0.4,1.2,0.0,0.0,1.0,70.0,7.8,60,76,210,300,56.0,66.3,39.7,58.0,41.5,64.2,6,300,155,145,0.7,0.0,93.5,93.6,1.2,0.0
2.4,0.4,0.7,1.4,0.4,1.2,0.0,0.0,1.0,71.7,9.5,62,86,215,300,53.3,69.5,36.0,57.8,41.8,60.2,6,300,150,150,0.6,0.0,94.0,94.0,1.2,0.0
1.8,0.4,1.2,1.1,0.4,1.7,0.0,0.0,1.0,69.3,3.5,64,74,208,300,51.7,73.5,37.5,55.0,38.8,60.3,6,300,143,157,0.6,0.0,93.1,92.8,1.2,0.0
2.1,0.0,0.7,0.8,0.4,1.7,0.0,0.0,1.0,70.7,3.7,66,74,212,300,56.0,68.7,41.0,58.3,40.3,63.2,6,300,158,142,0.7,0.0,93.4,93.6,1.2,0.0
2.1,0.0,1.7,0.8,0.4,1.7,0.0,0.0,1.0,70.7,3.7,66,74,212,300,56.0,68.7,41.0,58.3,40.3,63.2,6,300,158,142,0.7,0.0,93.4,93.6,1.2,0.0
2.1,0.4,0.7,1.1,0.4,1.7,0.0,0.0,1.0,75.0,5.8,68,84,225,300,57.7,71.8,38.0,60.3,47.8,62.8,6,300,159,141,0.6,0.0,94.1,94.0,1.2,0.0
2.1,0.4,0.7,1.4,0.4,1.7,0.0,0.0,1.0,74.0,6.1,66,82,222,300,55.7,73.0,41.7,53.7,46.7,60.0,6,300,150,150,0.6,0.0,93.8,94.0,1.2,0.0
2.1,0.4,1.7,1.1,0.2,1.7,0.0,0.0,1.0,74.3,3.7,68,78,223,300,55.0,70.8,31.2,59.3,42.3,61.7,6,300,149,151,0.6,0.0,94.1,93.8,1.2,0.0
2.1,0.4,1.7,1.4,0.4,1.2,0.0,0.0,1.0,73.7,5.0,66,80,221,300,54.0,75.3,27.2,60.7,39.3,62.7,6,300,146,154,0.5,0.0,94.0,93.9,1.2,0.0
2.4,0.0,0.7,1.4,0.4,1.2,0.0,0.0,1.0,70.0,7.8,60,76,210,300,56.0,66.3,39.7,58.0,41.5,64.2,6,300,155,145,0.7,0.0,93.5,93.6,1.2,0.0
1.8,0.2,1.7,1.4,0.2,1.7,0.0,0.0,1.0,72.0,6.8,60,80,216,300,58.0,75.5,41.5,57.2,44.3,65.5,6,300,155,145,0.6,0.0,93.8,94.3,1.2,0.0
1.8,0.2,1.7,1.4,0.4,1.7,0.0,0.0,1.0,69.3,3.3,64,74,208,300,51.0,66.0,40.2,51.5,37.5,58.8,6,300,142,158,0.6,0.0,93.4,94.2,1.2,0.0
1.8,0.4,0.7,1.4,0.2,1.7,0.0,0.0,1.0,70.7,4.7,62,76,212,300,53.3,63.0,36.2,61.5,36.7,63.2,6,300,155,145,0.7,0.0,93.2,93.7,1.2,0.0
1.8,0.4,1.7,1.1,0.2,1.7,0.0,0.0,1.0,72.0,4.6,66,76,216,300,54.0,71.3,38.2,58.5,41.7,63.0,6,300,152,148,0.6,0.0,93.5,93.6,1.2,0.0
2.1,0.0,0.7,1.1,0.4,0.7,0.0,0.0,1.0,75.3,5.3,70,82,226,300,62.3,76.5,47.0,62.8,44.0,70.5,6,300,174,126,0.7,0.0,93.9,94.3,1.2,0.0
2.1,0.0,0.7,1.4,0.4,1.7,0.0,0.0,1.0,71.3,5.5,64,80,214,300,56.0,72.3,45.0,57.5,48.3,60.5,6,300,159,141,0.7,0.0,93.5,93.9,1.2,0.0
2.1,0.0,1.2,1.1,0.4,0.7,0.0,0.0,1.0,75.3,5.3,70,82,226,300,62.3,76.5,47.0,62.8,44.0,70.5,6,300,174,126,0.7,0.0,93.9,94.3,1.2,0.0
2.1,0.0,1.2,1.4,0.4,1.7,0.0,0.0,1.0,71.3,5.5,64,80,214,300,56.0,72.3,45.0,57.5,48.3,60.5,6,300,159,141,0.7,0.0,93.5,93.9,1.2,0.0
2.1,0.0,1.7,1.1,0.4,0.7,0.0,0.0,1.0,75.3,5.3,70,82,226,300,62.3,76.5,47.0,62.8,44.0,70.5,6,300,174,126,0.7,0.0,93.9,94.3,1.2,0.0
2.1,0.0,1.7,1.4,0.4,1.7,0.0,0.0,1.0,71.3,5.5,64,80,214,300,56.0,72.3,45.0,57.5,48.3,60.5,6,300,159,141,0.7,0.0,93.5,93.9,1.2,0.0
2.1,0.2,1.7,0.8,0.4,1.7,0.0,0.0,1.0,69.7,7.9,62,82,209,300,51.3,75.2,39.3,53.2,44.5,55.0,6,300,148,152,0.7,0.0,93.5,93.4,1.2,0.0
2.1,0.4,1.2,1.4,0.4,1.7,0.0,0.0,1.0,74.7,5.6,68,82,224,300,56.7,70.8,36.2,58.2,42.0,63.7,6,300,154,146,0.6,0.0,94.0,94.4,1.2,0.0
2.1,0.4,1.7,1.1,0.4,1.7,0.0,0.0,1.0,73.3,3.9,68,78,220,300,53.0,71.3,24.2,58.5,38.8,62.0,6,300,138,162,0.5,0.0,93.5,93.0,1.2,0.0
2.1,0.4,1.7,1.4,0.0,0.7,0.0,0.0,1.0,73.7,4.6,66,80,221,300,57.7,67.7,26.7,64.3,43.8,65.8,6,300,156,144,0.7,0.0,94.0,94.0,1.2,0.0
2.1,0.4,1.7,1.4,0.0,1.2,0.0,0.0,1.0,73.7,4.6,66,80,221,300,57.7,67.7,26.7,64.3,43.8,65.8,6,300,156,144,0.7,0.0,94.0,94.0,1.2,0.0
2.1,0.4,1.7,1.4,0.0,1.7,0.0,0.0,1.0,73.7,4.6,66,80,221,300,57.7,67.7,26.7,64.3,43.8,65.8,6,300,156,144,0.7,0.0,94.0,94.0,1.2,0.0
2.4,0.2,0.7,0.8,0.4,1.7,0.0,0.0,1.0,69.0,5.6,60,74,207,300,51.0,70.2,28.3,61.3,35.7,64.2,6,300,144,156,0.7,0.0,93.3,92.8,1.2,0.0
2.4,0.2,1.2,1.4,0.4,1.7,0.0,0.0,1.0,70.0,2.2,66,72,210,300,55.7,77.3,37.0,51.0,42.8,62.0,6,300,140,160,0.6,0.0,93.8,93.9,1.2,0.0
2.4,0.2,1.7,1.1,0.2,1.7,0.0,0.0,1.0,70.7,7.2,62,80,212,300,57.0,74.0,29.5,61.3,39.0,66.3,6,300,152,148,0.7,0.0,93.8,94.4,1.2,0.0
2.4,0.2,1.7,1.4,0.0,0.7,0.0,0.0,1.0,70.0,4.0,66,76,210,300,58.0,66.7,31.8,62.5,45.3,64.5,6,300,157,143,0.7,0.0,93.5,94.0,1.2,0.0
2.4,0.2,1.7,1.4,0.0,1.2,0.0,0.0,1.0,70.0,4.0,66,76,210,300,58.0,66.7,31.8,62.5,45.3,64.5,6,300,157,143,0.7,0.0,93.5,94.0,1.2,0.0
2.4,0.2,1.7,1.4,0.0,1.7,0.0,0.0,1.0,70.0,4.0,66,76,210,300,58.0,66.7,31.8,62.5,45.3,64.5,6,300,157,143,0.7,0.0,93.5,94.0,1.2,0.0
2.4,0.4,0.7,1.4,0.2,1.2,0.0,0.0,1.0,73.3,5.5,66,80,220,300,55.7,71.2,33.8,63.7,42.0,63.7,6,300,160,140,0.6,0.0,94.0,93.7,1.2,0.0
1.8,0.0,0.7,1.4,0.4,1.7,0.0,0.0,1.0,74.0,4.9,66,80,222,300,56.3,69.2,48.5,56.8,47.5,60.3,6,300,163,137,0.6,0.0,93.2,93.2,1.2,0.0
1.8,0.0,1.2,1.4,0.4,1.7,0.0,0.0,1.0,74.0,4.9,66,80,222,300,56.3,69.2,48.5,56.8,47.5,60.3,6,300,163,137,0.6,0.0,93.2,93.2,1.2,0.0
1.8,0.0,1.7,1.4,0.4,1.7,0.0,0.0,1.0,74.0,4.9,66,80,222,300,56.3,69.2,48.5,56.8,47.5,60.3,6,300,163,137,0.6,0.0,93.2,93.2,1.2,0.0
1.8,0.2,1.7,1.4,0.2,0.7,0.0,0.0,1.0,71.7,5.7,62,78,215,300,53.0,65.3,36.8,60.5,40.7,61.3,6,300,156,144,0.6,0.0,93.6,93.3,1.2,0.0
1.8,0.2,1.7,1.4,0.4,0.7,0.0,0.0,1.0,72.0,6.3,64,80,216,300,54.3,65.8,45.2,57.3,42.2,63.5,6,300,160,140,0.6,0.0,94.0,94.4,1.2,0.0
1.8,0.4,0.7,0.8,0.4,1.7,0.0,0.0,1.0,68.7,4.5,64,74,206,300,53.3,74.7,38.5,54.3,44.8,58.5,6,300,148,152,0.7,0.0,93.7,94.0,1.2,0.0
1.8,0.4,1.2,0.8,0.4,1.7,0.0,0.0,1.0,72.3,2.7,68,74,217,300,56.3,77.3,36.2,58.5,49.5,60.7,6,300,152,148,0.7,0.0,93.0,92.6,1.2,0.0
1.8,0.4,1.2,1.1,0.2,1.2,0.0,0.0,1.0,74.0,5.1,66,78,222,300,58.3,75.0,37.2,61.3,47.8,63.3,6,300,162,138,0.6,0.0,94.1,94.0,1.2,0.0
1.8,0.4,1.2,1.4,0.2,1.2,0.0,0.0,1.0,70.0,3.3,66,74,210,300,56.7,71.3,32.2,64.5,43.5,64.2,6,300,161,139,0.7,0.0,93.7,93.8,1.2,0.0
1.8,0.4,1.2,1.4,0.2,1.7,0.0,0.0,1.0,68.7,7.3,60,82,206,300,54.0,82.8,31.8,58.2,45.0,59.0,6,300,148,152,0.6,0.0,93.7,93.8,1.2,0.0
2.1,0.0,0.7,1.4,0.2,0.7,0.0,0.0,1.0,72.3,3.9,68,78,217,300,58.3,63.7,44.7,60.8,39.2,67.8,6,300,167,133,0.7,0.0,93.6,94.2,1.2,0.0
