tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.4,0.4,1.9,0.8,0.6,1.9,0.0,0.0,1.0,65.3,5.9,58,74,196,300,49.0,67.5,11.2,53.0,31.8,66.2,6,300,94,206,1.2,0.0,94.0,95.0,1.8,0.0
2.4,0.4,1.9,1.1,0.6,1.5,0.0,0.0,1.0,63.7,5.1,56,72,191,300,46.0,68.5,12.5,48.2,28.5,63.8,6,300,90,210,1.2,0.0,93.9,94.3,1.7,0.0
2.4,0.4,1.9,1.4,0.6,1.9,0.0,0.0,1.0,66.0,4.6,62,74,198,300,47.3,72.7,12.0,52.0,29.3,65.7,6,300,96,204,1.2,0.0,94.3,95.3,1.7,0.0
1.8,0.4,0.7,1.4,0.6,1.9,0.0,0.0,1.0,62.0,4.0,58,68,186,300,43.3,67.0,22.5,43.7,30.3,58.3,6,300,97,203,1.2,0.0,93.1,93.2,1.6,0.0
2.1,0.2,1.1,1.1,0.6,1.9,0.0,0.0,1.0,69.0,3.3,66,74,207,300,48.0,72.0,24.2,44.3,34.5,58.8,6,300,108,192,1.0,0.0,93.8,94.1,1.6,0.0
2.1,0.2,1.5,0.8,0.6,1.9,0.0,0.0,1.0,62.0,4.2,56,66,186,300,43.3,64.8,16.2,48.3,29.3,55.2,6,300,100,200,1.3,0.0,93.2,93.8,1.6,0.0
2.4,0.4,1.9,1.1,0.6,1.9,0.0,0.0,1.0,65.3,7.3,58,76,196,300,42.7,62.8,13.5,50.3,26.2,59.5,6,300,96,204,1.2,0.0,93.7,94.0,1.6,0.0
2.4,0.2,0.7,0.8,0.6,1.9,0.0,0.0,1.0,62.0,2.2,60,66,186,300,47.7,64.5,19.7,47.5,31.5,60.8,6,300,104,196,1.2,0.0,93.6,94.1,1.6,0.0
1.8,0.4,1.9,1.4,0.6,1.9,0.0,0.0,1.0,67.0,3.7,64,74,201,300,45.3,69.8,12.3,48.2,29.0,63.3,6,300,90,210,1.3,0.0,93.4,93.9,1.6,0.0
2.4,0.4,1.1,1.4,0.6,1.1,0.0,0.0,1.0,61.7,6.9,54,74,185,300,47.3,61.3,15.3,49.8,32.3,61.0,6,300,101,199,1.2,0.0,93.8,94.9,1.6,0.0
1.8,0.4,0.7,1.1,0.6,1.9,0.0,0.0,1.0,64.7,4.8,56,70,194,300,47.3,61.8,20.5,46.0,29.0,63.7,6,300,101,199,1.2,0.0,93.4,94.1,1.6,0.0
2.1,0.4,1.1,1.4,0.6,1.5,0.0,0.0,1.0,66.3,5.0,62,76,199,300,44.7,71.7,13.5,46.7,33.3,53.0,6,300,98,202,1.2,0.0,93.8,94.1,1.6,0.0
2.4,0.2,1.1,0.8,0.4,1.9,0.0,0.0,1.0,64.7,6.2,56,74,194,300,49.7,67.3,14.7,55.2,26.5,71.0,6,300,108,192,1.3,0.0,93.8,94.8,1.6,0.0
2.4,0.4,1.9,1.4,0.6,0.7,0.0,0.0,1.0,64.3,4.3,58,70,193,300,45.7,65.5,12.3,54.5,28.2,63.7,6,300,101,199,1.2,0.0,93.7,93.9,1.6,0.0
1.8,0.2,1.9,1.4,0.6,1.9,0.0,0.0,1.0,64.0,3.1,60,68,192,300,42.3,70.7,20.2,47.2,30.0,58.5,6,300,97,203,1.2,0.0,93.4,93.9,1.6,0.0
1.8,0.4,1.9,1.4,0.6,1.5,0.0,0.0,1.0,63.3,6.5,58,76,190,300,46.3,66.0,11.8,48.8,34.7,58.2,6,300,91,209,1.4,0.0,93.6,93.9,1.6,0.0
2.1,0.4,0.7,1.4,0.6,1.1,0.0,0.0,1.0,63.0,7.2,54,70,189,300,48.3,66.7,19.5,48.8,34.7,59.3,6,300,108,192,1.3,0.0,93.4,94.0,1.6,0.0
2.1,0.4,0.7,1.4,0.6,1.9,0.0,0.0,1.0,62.0,11.2,42,72,186,300,43.7,64.3,19.0,43.7,31.7,54.5,6,300,97,203,1.2,0.0,93.5,93.7,1.6,0.0
1.8,0.4,1.1,1.4,0.6,1.9,0.0,0.0,1.0,63.0,3.0,60,68,189,300,43.3,63.8,15.7,53.7,26.0,65.3,6,300,97,203,1.2,0.0,93.7,93.9,1.5,0.0
2.1,0.2,1.5,1.1,0.4,1.9,0.0,0.0,1.0,65.7,4.3,58,70,197,300,46.7,58.8,21.5,50.8,27.2,65.3,6,300,110,190,1.1,0.0,93.4,93.5,1.5,0.0
2.1,0.2,1.5,1.4,0.4,1.5,0.0,0.0,1.0,66.0,2.2,64,70,198,300,52.0,64.5,22.2,49.0,37.8,62.3,6,300,113,187,1.1,0.0,93.5,94.1,1.5,0.0
2.1,0.2,1.5,1.4,0.6,1.9,0.0,0.0,1.0,62.3,3.4,58,66,187,300,46.3,67.2,18.3,49.2,31.5,59.0,6,300,106,194,1.3,0.0,93.2,93.6,1.5,0.0
2.4,0.4,1.9,1.1,0.6,0.7,0.0,0.0,1.0,61.7,4.5,54,68,185,300,40.7,64.8,9.8,52.7,27.2,54.5,6,300,93,207,1.4,0.0,93.7,94.1,1.5,0.0
2.1,0.2,1.5,1.4,0.6,1.5,0.0,0.0,1.0,64.7,4.3,58,70,194,300,49.0,71.8,21.5,48.8,28.5,68.5,6,300,108,192,1.2,0.0,93.6,94.0,1.5,0.0
