tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.4,0.2,1.9,1.4,0.4,1.9,0.0,0.0,1.0,49.0,5.0,42,54,147,300,25.7,52.2,14.5,34.2,23.7,35.5,6,300,58,242,40.1,1.5,76.5,80.0,1.5,0.0
2.4,0.2,1.9,0.8,0.4,1.9,0.0,0.0,1.0,49.0,5.0,42,54,147,300,24.7,52.2,13.3,34.8,23.5,33.5,6,300,57,243,42.4,1.7,76.3,79.5,1.5,0.0
2.4,0.2,1.9,1.1,0.4,1.9,0.0,0.0,1.0,49.3,4.5,44,54,148,300,25.0,52.2,13.8,34.7,21.7,37.3,6,300,57,243,41.7,1.6,76.1,79.2,1.5,0.0
2.4,0.2,1.9,1.4,0.6,1.9,0.0,0.0,1.0,48.3,5.0,42,54,145,300,23.3,54.2,14.5,33.7,23.2,29.7,6,300,57,243,42.5,1.6,76.4,79.5,1.5,0.0
2.4,0.2,1.9,0.8,0.6,1.9,0.0,0.0,1.0,48.7,5.3,42,54,146,300,24.0,54.2,12.7,38.2,22.7,31.7,6,300,59,241,41.7,1.7,76.3,79.4,1.5,0.0
2.1,0.4,1.9,0.8,0.2,1.9,0.0,0.0,1.0,47.0,5.0,40,52,141,300,23.0,48.0,10.7,28.0,23.3,21.8,6,300,49,251,54.5,1.8,77.3,80.7,1.4,0.0
1.8,0.2,1.9,1.1,0.4,0.7,0.0,0.0,1.0,48.0,4.7,42,54,144,300,27.7,58.0,13.5,32.8,26.0,31.8,6,300,61,239,43.6,1.5,76.3,79.0,1.4,0.0
1.8,0.2,1.9,1.4,0.4,1.9,0.0,0.0,1.0,47.0,3.7,42,52,141,300,26.7,53.0,14.8,27.2,22.7,35.0,6,300,58,242,38.6,1.3,76.6,79.7,1.4,0.0
2.4,0.2,1.9,1.1,0.6,1.9,0.0,0.0,1.0,49.3,5.3,44,56,148,300,24.3,55.2,13.8,37.7,22.5,33.8,6,300,60,240,41.8,1.6,76.4,79.4,1.4,0.0
1.8,0.2,1.9,0.8,0.4,1.9,0.0,0.0,1.0,48.0,2.8,44,52,144,300,28.3,51.0,18.0,27.5,27.8,32.2,6,300,64,236,40.8,1.4,77.0,80.5,1.4,0.0
