tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.1,0.4,1.2,0.8,0.2,1.2,0.0,0.0,1.0,50.0,6.7,42,60,150,300,25.7,67.2,16.8,29.3,25.0,27.8,6,300,61,239,29.2,2.0,80.7,82.4,1.8,0.0
1.5,0.4,1.2,1.1,0.4,1.2,0.0,0.0,1.0,46.0,5.5,36,52,138,300,25.7,74.8,14.7,21.2,28.8,20.2,6,300,52,248,30.9,2.1,80.1,81.2,1.7,0.0
1.5,0.4,1.2,1.1,0.4,0.7,0.0,0.0,1.0,43.7,4.1,38,50,131,300,25.0,76.7,15.3,22.7,30.3,16.3,6,300,55,245,26.7,1.7,79.8,81.3,1.7,0.0
2.1,0.4,1.2,0.8,0.4,1.2,0.0,0.0,1.0,48.0,4.6,40,52,144,300,29.7,62.0,14.8,33.5,29.2,31.5,6,300,62,238,26.8,1.8,80.9,82.8,1.7,0.0
1.5,0.4,1.2,0.8,0.4,0.7,0.0,0.0,1.0,46.0,5.9,40,54,138,300,27.0,79.2,16.2,28.7,29.7,22.5,6,300,63,237,27.3,1.9,80.4,81.6,1.7,0.0
1.5,0.4,1.2,1.4,0.2,1.2,0.0,0.0,1.0,45.7,7.3,34,56,137,300,24.3,70.0,15.5,24.3,25.5,22.8,6,300,58,242,26.8,1.9,80.7,81.8,1.7,0.0
1.8,0.4,1.2,1.4,0.4,1.2,0.0,0.0,1.0,43.7,5.0,38,50,131,300,27.0,75.8,16.2,24.7,29.3,24.5,6,300,59,241,26.5,1.7,80.4,81.5,1.6,0.0
2.1,0.4,1.2,1.4,0.4,0.7,0.0,0.0,1.0,45.3,4.1,38,50,136,300,24.0,70.7,13.2,25.2,25.8,18.3,6,300,54,246,27.0,1.8,80.9,82.1,1.6,0.0
1.8,0.2,1.2,1.1,0.4,0.7,0.0,0.0,1.0,41.7,7.1,34,52,125,300,27.7,72.2,13.3,26.5,32.2,24.2,6,300,59,241,29.7,1.9,79.4,80.4,1.6,0.0
1.8,0.4,1.2,1.1,0.0,0.7,0.0,0.0,1.0,45.7,5.3,36,50,137,300,29.0,70.0,12.3,32.7,32.2,24.7,6,300,61,239,27.3,2.0,80.5,81.7,1.6,0.0
1.8,0.4,1.2,1.1,0.0,1.2,0.0,0.0,1.0,45.7,5.3,36,50,137,300,29.0,70.0,12.3,32.7,32.2,24.7,6,300,61,239,27.3,2.0,80.5,81.7,1.6,0.0
1.5,0.4,1.2,1.4,0.2,0.7,0.0,0.0,1.0,43.7,3.4,38,48,131,300,25.3,69.5,16.0,29.3,27.7,22.2,6,300,64,236,25.4,1.8,80.9,81.8,1.6,0.0
1.5,0.4,0.7,0.8,0.4,1.2,0.0,0.0,1.0,44.7,5.8,40,54,134,300,25.7,71.5,18.2,22.2,27.7,23.7,6,300,60,240,29.8,1.9,78.5,79.5,1.6,0.0
1.5,0.4,1.2,0.8,0.4,1.2,0.0,0.0,1.0,46.7,3.7,42,50,140,300,25.7,66.2,18.5,25.0,30.5,18.0,6,300,63,237,29.2,1.9,80.4,81.6,1.6,0.0
1.8,0.4,1.2,0.8,0.4,1.2,0.0,0.0,1.0,46.0,2.8,42,50,138,300,30.0,73.0,15.2,32.3,31.7,29.7,6,300,66,234,23.6,1.7,80.9,82.1,1.6,0.0
1.5,0.4,1.2,1.1,0.0,0.7,0.0,0.0,1.0,45.7,2.9,42,50,137,300,25.7,73.5,13.8,32.2,25.7,26.8,6,300,60,240,32.4,2.1,79.8,81.2,1.6,0.0
1.5,0.4,1.2,1.1,0.0,1.2,0.0,0.0,1.0,45.7,2.9,42,50,137,300,25.7,73.5,13.8,32.2,25.7,26.8,6,300,60,240,32.4,2.1,79.8,81.2,1.6,0.0
1.5,0.4,1.2,1.4,0.4,1.2,0.0,0.0,1.0,47.7,2.9,42,50,143,300,25.3,75.7,13.7,28.5,26.3,23.3,6,300,57,243,30.2,2.1,80.6,82.2,1.6,0.0
2.1,0.4,1.2,1.4,0.2,1.2,0.0,0.0,1.0,51.3,6.8,44,62,154,300,26.3,70.5,12.8,37.2,23.0,33.7,6,300,63,237,32.1,2.3,80.9,82.3,1.6,0.0
1.5,0.4,1.2,0.8,0.2,0.7,0.0,0.0,1.0,45.7,6.4,36,54,137,300,26.7,74.7,16.2,26.2,31.5,19.7,6,300,61,239,24.7,1.8,80.3,81.8,1.5,0.0
1.8,0.4,1.2,0.8,0.0,0.7,0.0,0.0,1.0,47.3,5.3,42,56,142,300,28.7,67.5,14.8,31.2,30.2,25.7,6,300,64,236,26.8,2.0,80.2,81.0,1.5,0.0
1.8,0.4,1.2,0.8,0.0,1.2,0.0,0.0,1.0,47.3,5.3,42,56,142,300,28.7,67.5,14.8,31.2,30.2,25.7,6,300,64,236,26.9,2.0,80.2,81.0,1.5,0.0
2.1,0.4,1.2,1.1,0.2,1.2,0.0,0.0,1.0,44.7,2.1,42,46,134,300,25.0,75.3,14.8,27.7,28.7,18.0,6,300,59,241,26.1,1.8,80.3,81.5,1.5,0.0
2.1,0.4,1.2,1.4,0.4,1.2,0.0,0.0,1.0,48.7,7.4,36,58,146,300,24.3,75.5,13.8,30.7,25.0,23.3,6,300,56,244,30.7,2.1,80.8,82.3,1.5,0.0
2.1,0.2,1.2,1.4,0.4,1.2,0.0,0.0,1.0,49.0,9.2,36,60,147,300,28.7,68.3,20.8,22.0,28.2,29.8,6,300,64,236,27.4,1.9,79.9,81.0,1.5,0.0
1.5,0.4,1.2,1.1,0.2,0.7,0.0,0.0,1.0,46.3,6.7,34,54,139,300,27.3,72.3,15.3,30.0,29.8,23.7,6,300,65,235,27.1,1.8,80.2,80.8,1.5,0.0
1.8,0.4,1.2,1.1,0.2,0.7,0.0,0.0,1.0,47.7,2.3,44,50,143,300,26.0,72.2,14.7,34.5,27.7,24.8,6,300,65,235,27.4,1.9,80.7,82.0,1.5,0.0
1.5,0.4,0.7,1.4,0.4,1.2,0.0,0.0,1.0,43.3,3.7,38,48,130,300,23.7,75.2,16.3,18.5,25.8,20.8,6,300,52,248,32.1,2.2,78.0,78.2,1.5,0.0
