tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.1,0.4,1.9,0.8,0.6,1.5,0.0,0.0,1.0,57.0,5.3,48,64,171,300,36.3,69.8,12.5,25.8,38.0,34.2,6,300,56,244,16.5,2.9,85.2,86.6,2.1,0.0
2.1,0.4,1.9,1.1,0.4,1.5,0.0,0.0,1.0,55.0,4.5,48,62,165,300,37.0,76.7,12.3,29.5,39.2,34.3,6,300,61,239,16.1,2.7,84.7,85.9,2.1,0.0
2.4,0.4,1.9,0.8,0.2,1.5,0.0,0.0,1.0,56.7,5.9,48,64,170,300,31.3,79.7,11.3,29.0,38.5,22.2,6,300,58,242,21.1,3.2,83.8,85.0,2.1,0.0
2.1,0.2,1.9,1.4,0.6,1.9,0.0,0.0,1.0,54.0,6.3,44,62,162,300,35.7,74.2,20.0,26.3,37.5,34.2,6,300,68,232,15.8,2.7,84.6,86.1,2.1,0.0
2.4,0.2,1.1,1.1,0.6,1.9,0.0,0.0,1.0,55.3,7.9,44,64,166,300,39.0,77.7,19.3,28.3,40.0,40.7,6,300,70,230,16.2,2.6,83.1,84.1,2.0,0.0
2.4,0.4,1.9,0.8,0.6,0.7,0.0,0.0,1.0,56.7,4.1,52,64,170,300,36.0,78.7,10.0,32.7,41.8,29.7,6,300,62,238,20.1,3.1,84.2,85.0,2.0,0.0
2.4,0.4,1.9,1.4,0.2,0.7,0.0,0.0,1.0,57.0,6.8,50,66,171,300,34.0,79.7,11.0,31.5,37.3,29.8,6,300,62,238,20.4,3.0,83.9,85.2,2.0,0.0
1.8,0.4,1.9,1.1,0.4,1.1,0.0,0.0,1.0,57.0,5.5,50,64,171,300,35.0,72.2,13.8,30.2,37.5,32.2,6,300,61,239,20.4,3.4,84.2,85.1,2.0,0.0
2.4,0.4,1.5,1.1,0.6,1.9,0.0,0.0,1.0,58.3,7.0,50,70,175,300,40.0,77.5,17.8,27.7,41.8,39.3,6,300,68,232,15.9,2.7,84.4,85.3,2.0,0.0
2.4,0.4,1.5,1.4,0.6,1.5,0.0,0.0,1.0,59.3,7.3,52,70,178,300,36.7,76.2,12.0,26.7,42.8,31.2,6,300,60,240,18.9,3.0,84.1,84.7,2.0,0.0
1.8,0.2,1.9,1.1,0.4,1.5,0.0,0.0,1.0,54.0,5.2,50,64,162,300,38.3,78.7,18.3,25.5,41.5,35.3,6,300,66,234,15.5,2.7,84.1,85.0,2.0,0.0
1.8,0.4,0.7,0.8,0.4,1.9,0.0,0.0,1.0,56.3,3.7,52,62,169,300,40.7,79.0,20.2,27.2,42.3,39.7,6,300,73,227,12.5,2.0,83.7,84.7,2.0,0.0
2.4,0.2,1.5,1.4,0.2,1.9,0.0,0.0,1.0,52.7,3.7,48,58,158,300,35.7,79.5,16.5,27.7,38.3,33.0,6,300,67,233,16.6,2.9,84.2,85.1,2.0,0.0
2.4,0.4,1.5,0.8,0.4,1.9,0.0,0.0,1.0,57.3,4.8,52,64,172,300,38.0,71.7,10.7,29.2,39.0,38.3,6,300,62,238,17.0,2.9,84.6,85.4,2.0,0.0
2.4,0.4,1.5,1.4,0.2,0.7,0.0,0.0,1.0,54.3,2.3,52,58,163,300,36.0,72.2,14.3,29.5,42.2,28.7,6,300,65,235,17.2,2.9,84.2,84.8,2.0,0.0
2.4,0.4,1.9,1.1,0.2,0.7,0.0,0.0,1.0,56.7,5.8,52,64,170,300,36.0,73.3,11.8,32.8,42.7,29.8,6,300,65,235,19.1,2.9,84.1,85.1,2.0,0.0
2.4,0.4,1.5,1.1,0.2,1.9,0.0,0.0,1.0,53.0,5.2,46,58,159,300,36.3,75.3,13.2,28.0,43.8,28.8,6,300,61,239,17.5,2.9,84.4,84.9,2.0,0.0
2.1,0.4,1.5,1.4,0.6,1.5,0.0,0.0,1.0,58.7,6.2,50,64,176,300,36.7,75.8,14.8,32.2,33.8,40.2,6,300,69,231,16.6,3.0,84.8,85.8,2.0,0.0
2.4,0.4,1.9,0.8,0.4,0.7,0.0,0.0,1.0,54.3,2.9,50,58,163,300,34.0,71.3,12.3,28.5,38.8,28.8,6,300,60,240,19.8,3.3,84.0,84.8,2.0,0.0
2.4,0.4,1.1,0.8,0.4,1.9,0.0,0.0,1.0,58.3,6.7,52,70,175,300,38.3,80.5,14.8,28.5,36.8,41.3,6,300,65,235,16.7,2.7,84.1,85.1,2.0,0.0
2.4,0.4,1.9,0.8,0.6,1.5,0.0,0.0,1.0,56.3,5.3,48,64,169,300,37.0,71.3,15.3,30.2,43.2,30.7,6,300,65,235,18.4,2.7,84.1,85.2,2.0,0.0
1.8,0.2,1.1,1.4,0.6,1.9,0.0,0.0,1.0,57.7,2.7,54,60,173,300,35.7,81.2,23.3,22.3,31.0,40.3,6,300,69,231,15.3,2.3,83.5,84.7,2.0,0.0
1.8,0.4,1.9,1.4,0.4,0.7,0.0,0.0,1.0,56.3,5.4,48,64,169,300,35.3,69.5,12.3,35.7,38.3,31.5,6,300,64,236,19.6,3.3,84.0,84.8,2.0,0.0
1.8,0.4,1.9,1.4,0.4,1.5,0.0,0.0,1.0,56.7,7.4,44,66,170,300,32.3,70.7,14.5,28.7,36.2,26.3,6,300,59,241,19.0,3.1,84.1,84.8,2.0,0.0
2.1,0.2,1.9,1.1,0.6,1.5,0.0,0.0,1.0,54.0,5.7,44,60,162,300,35.0,75.7,19.5,21.8,40.8,30.3,6,300,63,237,14.7,2.5,84.4,85.6,2.0,0.0
2.1,0.4,1.1,1.1,0.6,1.9,0.0,0.0,1.0,58.3,5.4,50,64,175,300,36.7,71.8,19.7,28.3,36.3,39.7,6,300,70,230,15.7,2.4,83.7,84.3,2.0,0.0
2.4,0.4,1.1,1.1,0.6,1.9,0.0,0.0,1.0,56.7,3.9,54,64,170,300,34.0,81.8,14.5,24.5,39.0,29.5,6,300,58,242,18.0,2.8,83.6,84.3,2.0,0.0
2.4,0.4,1.9,1.4,0.2,1.9,0.0,0.0,1.0,56.0,6.2,50,66,168,300,36.0,77.8,11.0,30.8,40.0,32.3,6,300,63,237,18.8,2.8,84.0,85.5,2.0,0.0
2.4,0.4,1.9,1.4,0.6,0.7,0.0,0.0,1.0,54.0,8.1,42,66,162,300,32.7,78.3,9.3,27.5,38.0,27.8,6,300,54,246,20.3,3.1,83.4,84.3,2.0,0.0
2.4,0.4,1.9,1.4,0.6,1.5,0.0,0.0,1.0,57.0,2.8,52,60,171,300,35.3,76.2,9.8,29.2,40.7,28.7,6,300,56,244,21.2,3.3,84.4,85.8,2.0,0.0
2.1,0.2,1.5,1.1,0.6,1.9,0.0,0.0,1.0,58.0,3.6,52,62,174,300,36.0,76.7,19.0,23.3,35.5,36.5,6,300,64,236,17.6,2.9,83.4,84.3,2.0,0.0
2.4,0.4,1.5,1.1,0.6,1.5,0.0,0.0,1.0,57.0,4.9,48,62,171,300,37.0,77.2,13.7,32.2,39.2,35.2,6,300,68,232,18.9,3.0,84.2,84.8,2.0,0.0
2.4,0.4,1.9,0.8,0.2,1.1,0.0,0.0,1.0,57.0,6.8,48,64,171,300,36.7,75.8,9.3,34.8,41.5,31.2,6,300,64,236,19.2,3.0,84.2,85.0,2.0,0.0
2.4,0.4,1.9,0.8,0.4,1.5,0.0,0.0,1.0,55.0,3.3,50,60,165,300,32.3,77.8,12.8,26.3,39.7,24.8,6,300,58,242,18.2,2.9,84.1,84.9,2.0,0.0
1.8,0.4,1.1,1.1,0.6,1.5,0.0,0.0,1.0,58.0,3.6,52,62,174,300,35.3,80.3,17.0,28.8,34.3,36.5,6,300,68,232,18.5,3.1,83.9,84.9,1.9,0.0
1.8,0.4,1.5,1.4,0.6,1.5,0.0,0.0,1.0,52.0,6.9,44,62,156,300,32.3,78.7,18.2,23.2,38.8,25.3,6,300,61,239,14.5,2.5,84.5,85.0,1.9,0.0
2.1,0.4,1.1,0.8,0.4,1.9,0.0,0.0,1.0,61.0,7.0,52,72,183,300,39.3,73.8,18.0,29.7,36.5,42.3,6,300,72,228,18.0,2.9,83.5,84.2,1.9,0.0
2.4,0.4,1.5,1.1,0.6,1.1,0.0,0.0,1.0,54.3,5.3,48,62,163,300,35.7,77.0,14.3,26.0,37.7,34.0,6,300,63,237,15.7,2.6,84.4,84.8,1.9,0.0
2.1,0.0,1.1,0.8,0.6,1.9,0.0,0.0,1.0,53.7,5.1,48,60,161,300,35.7,83.2,25.2,21.7,40.7,33.7,6,300,68,232,14.0,2.2,82.3,83.3,1.9,0.0
2.1,0.0,1.5,0.8,0.6,1.9,0.0,0.0,1.0,53.7,5.1,48,60,161,300,35.7,83.2,25.2,21.7,40.7,33.7,6,300,68,232,14.0,2.2,82.3,83.3,1.9,0.0
2.4,0.2,1.5,0.8,0.4,1.9,0.0,0.0,1.0,57.0,5.2,50,62,171,300,37.7,79.5,19.7,25.0,40.0,35.0,6,300,68,232,15.1,2.7,83.8,84.5,1.9,0.0
2.1,0.0,0.7,0.8,0.6,1.9,0.0,0.0,1.0,53.7,5.1,48,60,161,300,35.7,83.2,25.2,21.7,40.7,33.7,6,300,68,232,13.9,2.2,82.3,83.3,1.9,0.0
2.1,0.0,1.9,0.8,0.6,1.9,0.0,0.0,1.0,53.7,5.1,48,60,161,300,35.7,83.2,25.2,21.7,40.7,33.7,6,300,68,232,14.0,2.2,82.3,83.3,1.9,0.0
2.1,0.2,0.7,1.4,0.6,1.9,0.0,0.0,1.0,59.3,3.7,56,66,178,300,39.3,75.2,26.5,20.7,37.8,41.8,6,300,69,231,15.2,2.3,82.9,84.1,1.9,0.0
1.8,0.4,1.9,1.4,0.2,1.5,0.0,0.0,1.0,55.3,3.5,50,60,166,300,35.3,65.2,14.5,30.7,37.0,31.7,6,300,63,237,19.1,3.3,84.3,85.4,1.9,0.0
1.8,0.4,1.9,1.4,0.2,0.7,0.0,0.0,1.0,53.7,6.6,44,64,161,300,34.7,76.7,13.2,34.3,37.2,32.8,6,300,62,238,18.0,3.1,84.5,85.2,1.9,0.0
2.4,0.2,1.5,1.4,0.6,1.5,0.0,0.0,1.0,56.0,4.2,52,62,168,300,34.7,75.2,19.3,23.2,36.3,33.8,6,300,64,236,15.6,2.9,84.5,85.0,1.9,0.0
2.4,0.4,1.9,1.1,0.4,1.9,0.0,0.0,1.0,60.3,3.4,56,66,181,300,37.3,77.8,15.8,30.2,40.8,33.2,6,300,66,234,20.6,3.3,84.4,86.1,1.9,0.0
2.4,0.2,1.5,1.1,0.6,1.9,0.0,0.0,1.0,55.3,3.0,50,58,166,300,36.7,79.3,16.0,25.8,38.5,35.7,6,300,63,237,16.8,2.6,83.7,84.8,1.9,0.0
1.8,0.2,1.5,1.1,0.6,1.9,0.0,0.0,1.0,55.7,8.4,46,68,167,300,39.0,77.3,22.0,22.8,40.0,38.3,6,300,68,232,13.4,2.2,83.4,84.5,1.9,0.0
1.8,0.2,1.9,1.1,0.4,1.9,0.0,0.0,1.0,58.3,2.9,54,62,175,300,35.7,82.8,17.3,30.8,37.3,35.0,6,300,71,229,17.0,2.8,84.1,84.6,1.9,0.0
1.8,0.4,1.1,0.8,0.6,1.9,0.0,0.0,1.0,58.7,6.9,48,64,176,300,34.0,79.5,20.7,21.3,34.5,34.0,6,300,64,236,18.5,3.0,83.5,84.6,1.9,0.0
1.8,0.4,1.5,0.8,0.6,1.9,0.0,0.0,1.0,55.0,4.1,50,60,165,300,37.3,80.0,17.7,28.8,37.0,37.0,6,300,68,232,13.6,2.5,84.8,85.5,1.9,0.0
2.1,0.4,1.1,1.4,0.6,1.9,0.0,0.0,1.0,59.0,3.7,56,66,177,300,38.0,80.2,17.0,33.0,31.8,46.0,6,300,72,228,16.6,2.6,83.5,84.6,1.9,0.0
2.1,0.2,1.9,1.1,0.6,1.9,0.0,0.0,1.0,53.7,4.8,46,60,161,300,31.7,82.0,21.0,25.3,33.0,30.3,6,300,68,232,15.9,2.7,84.5,85.2,1.9,0.0
2.1,0.4,1.5,1.1,0.6,0.7,0.0,0.0,1.0,53.3,4.5,48,58,160,300,35.3,82.0,15.8,29.7,40.2,30.2,6,300,68,232,15.7,2.6,84.4,85.2,1.9,0.0
1.8,0.4,1.5,1.1,0.6,1.9,0.0,0.0,1.0,55.7,1.5,54,58,167,300,39.0,71.5,17.3,31.8,41.0,37.0,6,300,71,229,14.9,2.7,84.8,85.7,1.9,0.0
1.8,0.4,1.9,0.8,0.2,1.9,0.0,0.0,1.0,59.0,5.8,52,66,177,300,34.7,73.3,14.2,33.2,37.8,29.5,6,300,63,237,21.3,3.8,83.9,84.4,1.9,0.0
2.1,0.4,1.9,1.4,0.4,1.9,0.0,0.0,1.0,61.0,5.8,54,68,183,300,33.3,77.2,15.2,30.3,31.0,36.3,6,300,64,236,17.5,3.1,85.2,87.2,1.9,0.0
2.4,0.2,1.1,0.8,0.4,1.9,0.0,0.0,1.0,57.0,5.8,50,64,171,300,41.0,75.2,19.5,26.7,47.5,35.8,6,300,71,229,14.9,2.6,83.6,84.4,1.9,0.0
2.4,0.2,1.1,0.8,0.6,1.9,0.0,0.0,1.0,59.3,4.8,54,68,178,300,37.3,77.7,21.2,28.5,40.3,35.3,6,300,73,227,17.2,2.7,83.0,83.6,1.9,0.0
2.4,0.4,1.1,1.4,0.2,1.9,0.0,0.0,1.0,59.0,6.8,50,68,177,300,37.7,69.2,13.5,30.2,42.7,33.7,6,300,66,234,17.1,2.7,83.8,84.9,1.9,0.0
2.4,0.4,1.5,1.4,0.2,1.5,0.0,0.0,1.0,54.7,5.9,46,62,164,300,32.0,80.2,12.2,27.5,38.2,25.7,6,300,60,240,17.3,2.8,84.2,84.4,1.9,0.0
2.1,0.2,1.9,0.8,0.4,1.9,0.0,0.0,1.0,54.3,6.4,44,60,163,300,34.7,84.2,18.2,25.3,36.7,33.2,6,300,66,234,16.0,2.8,84.3,85.2,1.9,0.0
2.4,0.4,1.9,1.1,0.2,1.1,0.0,0.0,1.0,57.0,5.5,52,64,171,300,34.7,72.7,13.2,31.3,41.7,27.0,6,300,64,236,19.4,3.2,84.0,85.0,1.9,0.0
2.1,0.2,0.7,1.1,0.6,1.9,0.0,0.0,1.0,57.7,6.4,50,66,173,300,35.7,84.0,24.0,22.8,36.5,36.2,6,300,70,230,15.6,2.7,83.0,83.9,1.9,0.0
2.4,0.4,1.5,0.8,0.6,1.1,0.0,0.0,1.0,57.0,5.0,52,64,171,300,37.0,74.0,13.8,35.0,39.3,34.7,6,300,73,227,17.9,2.9,84.0,84.5,1.9,0.0
1.8,0.2,1.9,1.4,0.4,1.5,0.0,0.0,1.0,60.0,3.3,58,66,180,300,39.0,75.0,13.5,35.0,36.5,41.8,6,300,73,227,18.3,3.1,84.3,85.4,1.9,0.0
1.8,0.4,1.9,0.8,0.2,0.7,0.0,0.0,1.0,59.0,7.3,50,68,177,300,34.3,68.0,13.8,38.3,34.3,35.0,6,300,68,232,20.2,3.5,84.0,84.9,1.9,0.0
2.1,0.2,1.1,0.8,0.4,1.9,0.0,0.0,1.0,58.0,5.1,52,64,174,300,39.0,78.7,17.3,29.8,40.8,38.8,6,300,72,228,14.2,2.6,83.3,84.1,1.9,0.0
2.1,0.2,1.9,1.1,0.2,1.1,0.0,0.0,1.0,52.7,5.2,46,60,158,300,33.0,81.0,19.2,28.7,42.3,21.8,6,300,71,229,17.1,2.7,83.6,84.3,1.9,0.0
2.1,0.4,1.9,0.8,0.6,1.9,0.0,0.0,1.0,57.0,7.7,48,70,171,300,33.3,77.2,13.8,26.0,36.8,28.0,6,300,56,244,19.9,3.3,84.6,85.7,1.9,0.0
2.1,0.4,1.9,1.1,0.4,1.9,0.0,0.0,1.0,57.0,5.6,52,68,171,300,34.7,76.8,14.3,31.2,35.3,33.7,6,300,64,236,19.0,3.2,84.6,86.3,1.9,0.0
2.4,0.4,1.5,0.8,0.6,1.5,0.0,0.0,1.0,55.3,4.5,48,60,166,300,35.7,77.8,13.7,31.5,41.8,29.7,6,300,69,231,15.5,2.6,84.5,84.9,1.9,0.0
2.4,0.4,1.5,1.4,0.2,1.9,0.0,0.0,1.0,57.7,2.0,56,60,173,300,38.7,73.8,13.3,31.8,40.0,38.5,6,300,69,231,18.3,3.1,84.4,84.9,1.9,0.0
1.8,0.4,1.1,1.4,0.4,1.9,0.0,0.0,1.0,57.0,6.5,46,64,171,300,36.3,80.2,19.7,23.8,36.3,37.7,6,300,66,234,18.3,2.8,84.0,85.4,1.9,0.0
1.8,0.4,1.9,1.1,0.2,1.9,0.0,0.0,1.0,58.7,5.0,52,66,176,300,33.0,73.5,13.0,32.7,33.8,30.3,6,300,61,239,23.0,3.7,84.1,85.2,1.8,0.0
2.1,0.2,1.5,1.1,0.4,1.9,0.0,0.0,1.0,57.0,6.2,50,68,171,300,36.0,78.2,20.3,26.3,37.2,36.0,6,300,69,231,17.3,3.0,83.5,84.4,1.8,0.0
2.1,0.4,1.5,1.1,0.4,1.5,0.0,0.0,1.0,53.7,5.0,48,60,161,300,36.0,78.0,17.0,32.0,35.2,37.0,6,300,72,228,15.3,2.8,84.7,85.5,1.8,0.0
2.4,0.2,1.5,1.4,0.6,1.9,0.0,0.0,1.0,56.3,8.1,42,64,169,300,36.0,77.7,15.5,26.5,35.3,37.2,6,300,63,237,17.6,2.9,83.8,85.0,1.8,0.0
2.4,0.4,0.7,0.8,0.6,1.5,0.0,0.0,1.0,52.7,4.8,44,58,158,300,34.7,77.8,21.2,24.2,34.2,35.3,6,300,67,233,17.0,2.6,83.3,84.1,1.8,0.0
