tx_base,tx_slope,tx_pow,dtx_base,dtx_slope,dtx_pow,rx_base,rx_slope,rx_pow,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
2.6,0.3,2.1,1.1,0.5,2.0,0.0,0.0,1.0,53.7,3.4,50,58,161,300,26.7,52.7,10.0,35.2,28.0,15.5,6,300,38,262,421.8,21.4,71.5,74.8,1.9,0.0
2.3,0.3,2.1,1.1,0.5,1.5,0.0,0.0,1.0,51.3,4.8,44,58,154,300,22.3,58.2,9.0,12.3,24.3,10.5,6,300,30,270,414.3,19.6,70.6,74.8,1.8,0.0
2.6,0.6,1.6,1.1,0.5,2.0,0.0,0.0,1.0,51.0,6.9,44,64,153,300,20.3,59.8,13.0,11.8,22.0,2.8,6,300,41,259,399.6,19.6,72.3,76.1,1.6,0.0
2.6,0.3,2.1,1.1,0.5,1.5,0.0,0.0,1.0,51.7,3.2,48,56,155,300,22.3,50.2,10.8,25.0,24.7,9.8,6,300,36,264,397.9,20.0,71.5,74.9,1.6,0.0
2.6,0.6,1.1,1.1,0.5,2.0,0.0,0.0,1.0,45.3,4.7,38,52,136,300,22.3,54.7,13.0,18.7,27.0,7.5,6,300,43,257,473.6,19.9,69.8,71.6,1.5,0.0
2.6,0.6,2.1,1.1,0.5,1.5,0.0,0.0,1.0,53.0,4.5,44,56,159,300,24.3,66.0,12.3,21.8,27.3,10.8,6,300,42,258,433.9,20.1,71.0,74.5,1.4,0.0
2.6,0.3,1.6,1.1,0.5,2.0,0.0,0.0,1.0,45.0,3.7,40,50,135,300,21.0,64.0,11.3,17.2,24.7,7.8,6,300,40,260,477.1,21.8,71.5,74.5,1.4,0.0
2.3,0.6,2.1,1.1,0.5,1.5,0.0,0.0,1.0,51.7,7.5,40,62,155,300,19.7,63.3,9.2,26.8,22.0,3.4,6,300,35,265,473.5,22.6,71.3,75.6,1.3,0.0
2.6,0.6,1.6,1.1,0.5,1.5,0.0,0.0,1.0,51.3,5.6,46,62,154,300,22.7,56.5,11.3,37.2,23.2,12.5,6,300,43,257,379.0,19.1,72.6,76.5,1.3,0.0
2.6,0.6,2.1,1.1,0.5,2.0,0.0,0.0,1.0,51.0,4.7,42,54,153,300,23.0,66.0,10.7,21.2,26.5,8.2,6,300,37,263,480.1,21.9,71.0,75.2,1.3,0.0
