tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds
1.0,0.04,1.0,0.04,0.0,0.02,26.0,3.7,22,30,52,200,17.0,29.0,4
2.0,0.04,0.0,0.04,0.0,0.02,26.0,5.4,18,30,52,200,15.5,26.8,4
2.0,0.04,1.0,0.04,0.0,0.02,25.5,3.4,22,30,51,200,15.0,28.5,4
2.0,0.04,1.5,0.04,0.0,0.02,25.5,3.4,22,30,51,200,12.0,27.0,4
0.0,0.04,1.0,0.04,0.0,0.02,25.5,3.8,20,28,51,200,10.0,28.5,4
2.0,0.04,1.0,0.04,1.0,0.02,25.0,3.5,22,28,50,200,14.5,23.0,4
1.5,0.04,0.5,0.04,0.5,0.02,25.0,3.8,22,30,50,200,19.0,31.8,4
1.5,0.04,1.5,0.04,0.5,0.02,25.0,3.8,20,28,50,200,16.0,30.0,4
1.5,0.04,1.5,0.04,1.0,0.02,25.0,5.3,20,32,50,200,15.0,23.0,4
0.5,0.04,2.0,0.04,0.0,0.02,24.5,1.0,24,26,49,200,14.0,31.5,4
2.0,0.04,1.5,0.04,1.0,0.02,24.0,2.8,22,28,48,200,14.5,23.0,4
2.0,0.04,1.5,0.04,0.5,0.02,24.0,4.9,18,28,48,200,13.0,24.5,4
2.0,0.04,1.0,0.04,0.5,0.02,24.0,5.2,18,30,48,200,15.5,26.0,4
