tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,mean_flood_delivery_pct,mean_path_delivery_pct,mean_flood_ack_pct,mean_path_ack_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop,mean_radio_eff_pct,mean_ackpath_eff_pct,del_mean_ack_copies,lost_mean_ack_copies
0.0,0.0,0.0,0.6,3.0,0.2,65.7,2.9,62,68,197,300,6.0,62.0,60.7,35.3,3.3,31.7,6,300,177,123,11.1,2.7,67.0,62.6,0.1,0.0
0.0,0.0,0.0,0.6,0.0,0.6,65.7,3.7,62,72,197,300,8.0,70.5,67.5,17.5,4.7,16.3,6,300,172,128,7.6,2.4,66.0,63.4,0.2,0.0
0.0,0.0,0.0,0.2,0.0,0.6,65.3,2.7,62,68,196,300,6.7,71.7,63.8,31.0,4.3,20.7,6,300,177,123,7.0,1.9,65.8,62.5,0.1,0.0
0.0,0.0,0.0,0.4,0.0,0.6,65.3,3.0,62,70,196,300,7.3,72.3,63.3,29.7,4.7,14.8,6,300,172,128,8.4,3.0,65.8,61.9,0.2,0.0
0.0,0.0,1.0,0.6,0.0,0.0,65.3,3.7,60,70,196,300,11.3,70.2,63.0,28.7,5.2,31.8,6,300,161,139,8.3,2.6,66.1,66.3,0.2,0.0
0.0,0.0,1.0,0.4,0.0,0.0,65.3,5.9,54,70,196,300,8.7,70.8,65.8,29.0,5.2,23.8,6,300,170,130,7.7,2.5,65.9,65.1,0.2,0.0
0.0,0.0,1.0,0.6,0.0,0.6,65.0,3.5,62,72,195,300,6.3,69.8,62.8,22.0,4.2,15.0,6,300,168,132,7.4,2.4,65.8,62.5,0.2,0.0
0.0,0.0,1.0,0.4,0.0,0.6,64.7,4.7,60,72,194,300,11.3,63.5,62.7,29.8,4.8,35.8,6,300,168,132,7.6,2.3,66.3,66.3,0.2,0.0
0.0,0.0,1.0,0.2,0.0,0.0,64.7,5.9,58,72,194,300,8.0,70.3,63.7,23.8,4.7,25.0,6,300,163,137,8.6,3.0,65.8,63.7,0.2,0.0
0.0,0.0,1.0,0.6,6.0,0.0,64.3,2.9,62,70,193,300,6.0,63.8,59.5,30.8,3.3,25.3,6,300,169,131,11.0,3.0,67.1,63.7,0.2,0.0
0.0,0.0,1.0,0.6,6.0,0.2,64.3,2.9,62,70,193,300,6.0,63.8,59.5,30.8,3.3,25.3,6,300,169,131,11.0,3.0,67.1,63.7,0.2,0.0
0.0,0.0,1.0,0.6,6.0,0.4,64.3,2.9,62,70,193,300,6.0,63.8,59.5,30.8,3.3,25.3,6,300,169,131,11.0,3.0,67.1,63.7,0.2,0.0
0.0,0.0,1.0,0.6,6.0,0.6,64.3,2.9,62,70,193,300,6.0,63.8,59.5,30.8,3.3,25.3,6,300,169,131,11.0,3.0,67.1,63.7,0.2,0.0
0.0,0.0,1.0,0.0,3.0,0.2,64.3,5.3,58,72,193,300,5.7,61.8,61.5,23.8,3.3,26.5,6,300,175,125,9.6,2.4,67.0,62.9,0.1,0.0
0.0,0.0,0.0,0.0,0.0,0.6,64.0,3.1,58,66,192,300,9.7,72.2,64.3,33.3,4.7,25.7,6,300,175,125,5.8,1.5,66.2,65.4,0.2,0.0
0.0,0.0,1.0,0.0,0.0,0.4,63.7,5.9,56,70,191,300,4.7,65.3,63.0,27.0,3.5,15.8,6,300,173,127,8.0,1.9,68.4,64.0,0.1,0.0
0.0,0.0,1.0,0.2,3.0,0.2,63.3,4.1,60,70,190,300,6.7,60.0,59.8,39.3,3.5,36.7,6,300,173,127,10.5,2.8,67.0,64.5,0.1,0.0
0.0,0.0,0.0,0.6,3.0,0.4,63.3,4.5,60,72,190,300,5.3,63.5,60.8,48.7,2.7,44.7,6,300,178,122,8.9,2.2,67.1,62.7,0.1,0.0
0.0,0.0,0.0,0.6,6.0,0.0,63.0,2.8,58,66,189,300,6.3,60.3,59.5,30.5,3.5,25.0,6,300,172,128,10.6,2.7,67.3,63.5,0.1,0.0
0.0,0.0,0.0,0.6,6.0,0.2,63.0,2.8,58,66,189,300,6.3,60.3,59.5,30.5,3.5,25.0,6,300,172,128,10.7,2.7,67.3,63.5,0.1,0.0
0.0,0.0,0.0,0.6,6.0,0.4,63.0,2.8,58,66,189,300,6.3,60.3,59.5,30.5,3.5,25.0,6,300,172,128,10.7,2.7,67.3,63.4,0.1,0.0
0.0,0.0,0.0,0.6,6.0,0.6,63.0,2.8,58,66,189,300,6.3,60.3,59.5,30.5,3.5,25.0,6,300,172,128,10.6,2.7,67.3,63.5,0.1,0.0
0.0,0.0,0.0,0.4,6.0,0.0,63.0,3.3,58,66,189,300,7.3,61.7,59.8,31.0,3.5,34.3,6,300,172,128,9.3,2.3,67.4,64.6,0.2,0.0
0.0,0.0,0.0,0.4,6.0,0.2,63.0,3.3,58,66,189,300,7.3,61.7,59.8,31.0,3.5,34.3,6,300,172,128,9.3,2.3,67.4,64.6,0.2,0.0
0.0,0.0,0.0,0.4,6.0,0.4,63.0,3.3,58,66,189,300,7.3,61.7,59.8,31.0,3.5,34.3,6,300,172,128,9.3,2.3,67.4,64.6,0.2,0.0
0.0,0.0,0.0,0.4,6.0,0.6,63.0,3.3,58,66,189,300,7.3,61.7,59.8,31.0,3.5,34.3,6,300,172,128,9.3,2.3,67.4,64.6,0.2,0.0
0.0,0.0,1.0,0.4,6.0,0.0,63.0,5.8,52,68,189,300,6.0,62.5,60.2,26.8,3.3,25.3,6,300,166,134,8.1,1.9,67.4,65.9,0.1,0.0
0.0,0.0,1.0,0.4,6.0,0.2,63.0,5.8,52,68,189,300,6.0,62.5,60.2,26.8,3.3,25.3,6,300,166,134,8.1,1.9,67.4,65.9,0.1,0.0
0.0,0.0,1.0,0.4,6.0,0.4,63.0,5.8,52,68,189,300,6.0,62.5,60.2,26.8,3.3,25.3,6,300,166,134,8.1,1.9,67.4,65.9,0.1,0.0
0.0,0.0,1.0,0.4,6.0,0.6,63.0,5.8,52,68,189,300,6.0,62.5,60.2,26.8,3.3,25.3,6,300,166,134,8.1,1.9,67.4,65.9,0.1,0.0
0.0,0.2,1.0,0.0,3.0,0.0,63.0,6.8,54,70,189,300,5.7,64.8,55.8,18.8,4.5,9.0,6,300,154,146,9.1,0.7,77.3,72.0,0.1,0.0
0.0,0.0,1.0,0.0,0.0,0.6,62.7,2.4,60,66,188,300,6.3,68.0,63.5,13.5,3.7,20.2,6,300,166,134,6.5,2.1,65.9,61.9,0.1,0.0
0.0,0.0,0.0,0.4,3.0,0.2,62.7,3.0,58,66,188,300,5.3,64.0,60.8,29.5,3.7,19.5,6,300,174,126,11.0,2.8,67.0,62.0,0.1,0.0
0.0,0.2,0.0,0.2,3.0,0.0,62.7,5.0,56,70,188,300,7.3,65.3,57.0,13.2,5.5,18.0,6,300,155,145,9.2,0.8,77.5,74.1,0.1,0.0
0.0,0.0,1.0,0.0,0.0,0.0,62.7,5.9,56,70,188,300,8.7,70.2,65.2,21.8,6.0,14.2,6,300,165,135,7.7,2.8,66.0,65.9,0.2,0.0
0.0,0.2,1.0,0.2,3.0,0.0,62.3,3.2,60,68,187,300,6.7,65.5,53.7,21.2,5.0,18.8,6,300,148,152,9.5,0.8,77.2,74.2,0.1,0.0
0.0,0.0,1.0,0.2,3.0,0.4,62.3,3.7,56,66,187,300,4.7,61.0,59.7,41.7,3.3,16.5,6,300,175,125,10.8,2.7,67.1,61.8,0.1,0.0
0.0,0.0,0.0,0.2,3.0,0.2,62.3,4.1,60,70,187,300,5.0,59.3,59.3,17.8,4.7,7.0,6,300,165,135,11.2,2.8,66.9,62.7,0.1,0.0
0.0,0.0,0.0,0.0,3.0,0.0,62.3,4.6,58,70,187,300,5.0,65.8,62.2,27.5,3.8,12.5,6,300,173,127,8.7,2.0,67.0,64.2,0.1,0.0
0.0,0.0,0.0,0.4,0.0,0.4,62.3,4.6,54,66,187,300,4.7,65.2,63.0,24.3,3.2,16.5,6,300,171,129,6.4,1.4,68.4,63.9,0.1,0.0
0.0,0.0,0.0,0.0,6.0,0.0,62.0,2.5,58,64,186,300,6.3,60.8,58.0,33.8,3.8,23.7,6,300,169,131,9.6,2.5,67.2,64.0,0.2,0.0
0.0,0.0,0.0,0.0,6.0,0.2,62.0,2.5,58,64,186,300,6.3,60.8,58.0,33.8,3.8,23.7,6,300,169,131,9.6,2.5,67.2,64.0,0.1,0.0
0.0,0.0,0.0,0.0,6.0,0.4,62.0,2.5,58,64,186,300,6.3,60.8,58.0,33.8,3.8,23.7,6,300,169,131,9.6,2.5,67.2,64.0,0.1,0.0
0.0,0.0,0.0,0.0,6.0,0.6,62.0,2.5,58,64,186,300,6.3,60.8,58.0,33.8,3.8,23.7,6,300,169,131,9.6,2.5,67.2,64.0,0.1,0.0
0.0,0.0,0.0,0.0,3.0,0.2,62.0,4.7,56,68,186,300,4.3,62.5,60.2,24.2,3.0,20.0,6,300,173,127,12.4,3.2,66.9,61.1,0.1,0.0
0.0,0.2,1.0,0.6,3.0,0.0,62.0,6.3,54,70,186,300,6.7,64.2,54.7,19.2,5.0,14.0,6,300,151,149,10.3,0.8,77.4,73.2,0.1,0.0
0.0,0.0,0.0,0.2,3.0,0.0,62.0,7.0,54,72,186,300,9.3,61.3,58.3,27.7,4.5,31.8,6,300,161,139,9.6,2.2,67.5,66.4,0.2,0.0
0.0,0.0,1.0,0.4,3.0,0.2,62.0,8.9,46,70,186,300,5.3,64.0,60.2,23.5,4.2,13.8,6,300,167,133,10.4,2.7,67.1,62.8,0.1,0.0
0.0,0.0,1.0,0.6,0.0,0.4,62.0,9.4,46,72,186,300,7.0,66.8,64.5,14.0,4.7,16.3,6,300,164,136,7.4,1.8,68.3,65.1,0.1,0.0
0.0,0.2,0.0,0.4,3.0,0.0,61.7,3.2,58,66,185,300,6.3,62.5,55.8,22.3,5.0,14.5,6,300,154,146,10.1,0.8,77.4,71.9,0.1,0.0
0.0,0.0,0.0,0.2,6.0,0.0,61.7,4.3,54,66,185,300,7.0,63.3,60.2,23.2,3.2,25.7,6,300,169,131,9.3,2.5,67.5,65.1,0.2,0.0
