tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds,fate_tracked,fate_delivered,fate_lost,lost_mean_collision,lost_mean_drop
0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.9,46,56,156,300,10.7,53.7,6,300,145,155,13.0,3.3
0.0,0.0,0.0,0.0,0.0,0.3,53.7,3.4,50,60,161,300,17.3,47.8,6,300,143,157,13.7,3.0
0.0,0.0,0.0,0.0,0.0,0.6,58.3,4.3,52,64,175,300,15.0,52.5,6,300,166,134,12.8,3.2
0.0,0.0,0.0,0.0,2.0,0.0,59.0,4.3,54,64,177,300,19.3,52.7,6,300,161,139,13.9,3.0
0.0,0.0,0.0,0.0,2.0,0.3,53.3,2.7,50,56,160,300,13.0,54.3,6,300,146,154,14.3,3.1
0.0,0.0,0.0,0.0,2.0,0.6,54.3,5.6,46,60,163,300,14.7,52.7,6,300,143,157,14.0,3.2
0.0,0.0,0.0,0.0,4.0,0.0,54.7,5.8,48,64,164,300,15.7,59.2,6,300,150,150,14.4,3.2
0.0,0.0,0.0,0.0,4.0,0.3,53.3,7.3,42,64,160,300,18.0,53.5,6,300,142,158,13.9,3.0
0.0,0.0,0.0,0.0,4.0,0.6,54.3,4.8,50,62,163,300,12.7,54.8,6,300,149,151,14.0,3.1
0.0,0.0,0.0,0.0,6.0,0.0,54.7,7.4,44,64,164,300,16.0,54.0,6,300,146,154,12.1,2.7
0.0,0.0,0.0,0.0,6.0,0.3,54.7,7.4,44,64,164,300,16.0,54.0,6,300,146,154,12.1,2.7
0.0,0.0,0.0,0.0,6.0,0.6,54.7,7.4,44,64,164,300,16.0,54.0,6,300,146,154,12.1,2.6
0.0,0.0,0.0,0.3,0.0,0.0,52.3,5.4,46,62,157,300,14.3,54.2,6,300,143,157,14.2,3.5
0.0,0.0,0.0,0.3,0.0,0.3,52.3,6.7,42,62,157,300,16.7,52.7,6,300,144,156,14.4,3.0
0.0,0.0,0.0,0.3,0.0,0.6,60.3,7.3,50,72,181,300,12.0,51.2,6,300,170,130,11.9,2.9
0.0,0.0,0.0,0.3,2.0,0.0,57.0,3.7,52,62,171,300,15.0,55.2,6,300,146,154,12.5,2.8
0.0,0.0,0.0,0.3,2.0,0.3,55.3,4.5,52,64,166,300,12.3,52.8,6,300,142,158,13.0,2.7
0.0,0.0,0.0,0.3,2.0,0.6,53.3,2.1,50,56,160,300,14.7,53.3,6,300,133,167,14.1,3.2
0.0,0.0,0.0,0.3,4.0,0.0,51.7,5.3,44,60,155,300,13.7,53.3,6,300,139,161,14.8,3.4
